Instancia;OrderBased;PositionBased;PMX;OnePoint;TwoPoint;TwoPointPermutation;OrderTwo;Linear;SequenceBased;LoopBased;TwoCutPTL;NoCross;Otimo
20J_5M_0.txt;1297.0;1297.0;1297.0;1297.0;1297.0;1297.0;1310.0;1297.0;1297.0;1324.0;1297.0;1392.0;1278.0
20J_5M_1.txt;1366.0;1366.0;1360.0;1383.0;1373.0;1383.0;1373.0;1367.0;1360.0;1383.0;1373.0;1411.0;1359.0
20J_5M_2.txt;1107.0;1098.0;1103.0;1135.0;1132.0;1132.0;1132.0;1098.0;1098.0;1125.0;1148.0;1239.0;1081.0
20J_5M_3.txt;1341.0;1302.0;1338.0;1371.0;1323.0;1341.0;1363.0;1326.0;1309.0;1352.0;1383.0;1488.0;1293.0
20J_5M_4.txt;1291.0;1250.0;1277.0;1311.0;1254.0;1288.0;1305.0;1250.0;1250.0;1283.0;1279.0;1355.0;1236.0
20J_5M_5.txt;1224.0;1210.0;1224.0;1224.0;1224.0;1272.0;1272.0;1225.0;1210.0;1272.0;1247.0;1363.0;1195.0
20J_5M_6.txt;1259.0;1251.0;1251.0;1280.0;1251.0;1286.0;1251.0;1259.0;1251.0;1265.0;1271.0;1292.0;1239.0
20J_5M_7.txt;1228.0;1214.0;1222.0;1240.0;1216.0;1285.0;1230.0;1258.0;1211.0;1281.0;1263.0;1378.0;1206.0
20J_5M_8.txt;1253.0;1255.0;1255.0;1264.0;1253.0;1290.0;1255.0;1253.0;1255.0;1317.0;1298.0;1390.0;1230.0
20J_5M_9.txt;1137.0;1127.0;1127.0;1152.0;1131.0;1127.0;1196.0;1138.0;1108.0;1167.0;1138.0;1213.0;1108.0
20J_10M_0.txt;1625.0;1618.0;1641.0;1653.0;1634.0;1671.0;1687.0;1652.0;1610.0;1662.0;1681.0;1824.0;1582.0
20J_10M_1.txt;1685.0;1712.0;1702.0;1757.0;1726.0;1746.0;1760.0;1705.0;1720.0;1728.0;1776.0;1891.0;1659.0
20J_10M_2.txt;1539.0;1544.0;1575.0;1587.0;1561.0;1591.0;1612.0;1546.0;1516.0;1589.0;1593.0;1722.0;1496.0
20J_10M_3.txt;1436.0;1424.0;1446.0;1459.0;1416.0;1471.0;1447.0;1417.0;1412.0;1469.0;1457.0;1654.0;1378.0
20J_10M_4.txt;1468.0;1446.0;1471.0;1487.0;1438.0;1533.0;1454.0;1475.0;1465.0;1575.0;1539.0;1685.0;1419.0
20J_10M_5.txt;1418.0;1446.0;1469.0;1439.0;1431.0;1484.0;1457.0;1448.0;1431.0;1489.0;1476.0;1599.0;1397.0
20J_10M_6.txt;1526.0;1506.0;1540.0;1545.0;1494.0;1559.0;1543.0;1555.0;1504.0;1578.0;1593.0;1703.0;1484.0
20J_10M_7.txt;1568.0;1593.0;1641.0;1582.0;1607.0;1633.0;1652.0;1568.0;1566.0;1653.0;1646.0;1786.0;1538.0
20J_10M_8.txt;1653.0;1637.0;1658.0;1662.0;1617.0;1651.0;1638.0;1674.0;1636.0;1676.0;1666.0;1822.0;1593.0
20J_10M_9.txt;1635.0;1639.0;1669.0;1668.0;1654.0;1654.0;1650.0;1649.0;1626.0;1716.0;1692.0;1814.0;1591.0
20J_20M_0.txt;2380.0;2355.0;2369.0;2371.0;2359.0;2423.0;2398.0;2383.0;2380.0;2421.0;2440.0;2554.0;2297.0
20J_20M_1.txt;2155.0;2136.0;2142.0;2180.0;2161.0;2159.0;2152.0;2134.0;2140.0;2232.0;2248.0;2389.0;2100.0
20J_20M_2.txt;2369.0;2338.0;2396.0;2377.0;2387.0;2416.0;2419.0;2349.0;2390.0;2478.0;2404.0;2616.0;2326.0
20J_20M_3.txt;2264.0;2258.0;2347.0;2326.0;2299.0;2295.0;2315.0;2276.0;2255.0;2341.0;2326.0;2480.0;2223.0
20J_20M_4.txt;2340.0;2327.0;2356.0;2373.0;2340.0;2409.0;2379.0;2352.0;2320.0;2417.0;2420.0;2518.0;2291.0
20J_20M_5.txt;2280.0;2286.0;2320.0;2259.0;2279.0;2277.0;2305.0;2273.0;2248.0;2294.0;2329.0;2474.0;2226.0
20J_20M_6.txt;2296.0;2323.0;2329.0;2393.0;2370.0;2337.0;2342.0;2312.0;2327.0;2406.0;2388.0;2536.0;2273.0
20J_20M_7.txt;2259.0;2245.0;2296.0;2332.0;2274.0;2307.0;2300.0;2255.0;2246.0;2328.0;2310.0;2460.0;2200.0
20J_20M_8.txt;2332.0;2288.0;2293.0;2356.0;2300.0;2378.0;2358.0;2289.0;2267.0;2427.0;2397.0;2536.0;2237.0
20J_20M_9.txt;2260.0;2243.0;2257.0;2281.0;2211.0;2298.0;2247.0;2243.0;2251.0;2331.0;2325.0;2492.0;2178.0
50J_5M_0.txt;2724.0;2752.0;2752.0;2754.0;2745.0;2827.0;2823.0;2752.0;2731.0;2745.0;2752.0;2891.0;2724.0
50J_5M_1.txt;2884.0;2863.0;2865.0;2938.0;2884.0;2886.0;2902.0;2884.0;2848.0;2956.0;2884.0;3096.0;2834.0
50J_5M_2.txt;2639.0;2644.0;2660.0;2678.0;2671.0;2666.0;2721.0;2671.0;2641.0;2702.0;2690.0;2852.0;2621.0
50J_5M_3.txt;2794.0;2776.0;2843.0;2848.0;2780.0;2887.0;2848.0;2782.0;2777.0;2821.0;2810.0;3018.0;2751.0
50J_5M_4.txt;2891.0;2887.0;2922.0;2864.0;2916.0;2965.0;2891.0;2913.0;2887.0;2913.0;2922.0;3062.0;2863.0
50J_5M_5.txt;2873.0;2853.0;2862.0;2881.0;2874.0;2896.0;2930.0;2889.0;2835.0;2936.0;2883.0;3087.0;2829.0
50J_5M_6.txt;2814.0;2772.0;2803.0;2796.0;2795.0;2807.0;2829.0;2789.0;2735.0;2798.0;2812.0;2955.0;2725.0
50J_5M_7.txt;2718.0;2717.0;2713.0;2762.0;2730.0;2761.0;2777.0;2731.0;2704.0;2759.0;2773.0;2946.0;2683.0
50J_5M_8.txt;2617.0;2587.0;2605.0;2611.0;2624.0;2616.0;2681.0;2634.0;2568.0;2646.0;2626.0;2790.0;2552.0
50J_5M_9.txt;2784.0;2784.0;2832.0;2836.0;2786.0;2832.0;2875.0;2808.0;2782.0;2849.0;2825.0;2972.0;2782.0
50J_10M_0.txt;3211.0;3197.0;3201.0;3240.0;3191.0;3266.0;3261.0;3264.0;3130.0;3320.0;3328.0;3571.0;3025.0
50J_10M_1.txt;3054.0;3021.0;3109.0;3169.0;3007.0;3081.0;3106.0;3052.0;3027.0;3225.0;3130.0;3440.0;2892.0
50J_10M_2.txt;3069.0;3036.0;3078.0;3107.0;3032.0;3216.0;3050.0;3093.0;3033.0;3158.0;3197.0;3464.0;2864.0
50J_10M_3.txt;3188.0;3197.0;3267.0;3254.0;3209.0;3313.0;3276.0;3247.0;3188.0;3291.0;3291.0;3540.0;3064.0
50J_10M_4.txt;3237.0;3212.0;3253.0;3232.0;3152.0;3249.0;3194.0;3183.0;3204.0;3339.0;3290.0;3551.0;2986.0
50J_10M_5.txt;3169.0;3119.0;3168.0;3225.0;3169.0;3240.0;3196.0;3203.0;3180.0;3256.0;3338.0;3500.0;3006.0
50J_10M_6.txt;3289.0;3235.0;3298.0;3290.0;3246.0;3318.0;3322.0;3264.0;3233.0;3385.0;3324.0;3617.0;3107.0
50J_10M_7.txt;3213.0;3210.0;3245.0;3224.0;3142.0;3263.0;3272.0;3227.0;3156.0;3267.0;3313.0;3418.0;3039.0
50J_10M_8.txt;3057.0;3052.0;3062.0;3140.0;3071.0;3132.0;3100.0;3088.0;3030.0;3151.0;3251.0;3480.0;2902.0
50J_10M_9.txt;3212.0;3202.0;3256.0;3315.0;3238.0;3258.0;3255.0;3268.0;3238.0;3344.0;3330.0;3556.0;3091.0
50J_20M_0.txt;4124.0;4066.0;4136.0;4243.0;4098.0;4192.0;4190.0;4177.0;4099.0;4363.0;4295.0;4615.0;3875.0
50J_20M_1.txt;4002.0;4029.0;4148.0;4063.0;4008.0;4184.0;4072.0;4057.0;3967.0;4191.0;4133.0;4463.0;3715.0
50J_20M_2.txt;3898.0;3929.0;3943.0;4089.0;3925.0;4061.0;3957.0;3966.0;3977.0;4126.0;4112.0;4387.0;3668.0
50J_20M_3.txt;3985.0;4005.0;4181.0;4086.0;4055.0;4128.0;4020.0;3997.0;3994.0;4180.0;4215.0;4411.0;3752.0
50J_20M_4.txt;3976.0;3867.0;3943.0;4011.0;3938.0;4128.0;4020.0;3929.0;3933.0;4123.0;4128.0;4414.0;3635.0
50J_20M_5.txt;4029.0;3980.0;4059.0;4160.0;3897.0;3989.0;4068.0;4020.0;3933.0;4115.0;4089.0;4361.0;3698.0
50J_20M_6.txt;3943.0;3966.0;4087.0;4117.0;3974.0;4075.0;4118.0;4012.0;4000.0;4184.0;4163.0;4480.0;3716.0
50J_20M_7.txt;3990.0;4023.0;4092.0;4097.0;3940.0;4145.0;4156.0;4003.0;3950.0;4142.0;4134.0;4487.0;3709.0
50J_20M_8.txt;3964.0;4030.0;4059.0;4070.0;4012.0;4138.0;4194.0;4052.0;4026.0;4261.0;4138.0;4372.0;3765.0
50J_20M_9.txt;4051.0;3969.0;4012.0;4127.0;3983.0;4187.0;4246.0;4064.0;3972.0;4225.0;4215.0;4527.0;3777.0
100J_5M_0.txt;5527.0;5505.0;5554.0;5575.0;5546.0;5555.0;5565.0;5527.0;5495.0;5581.0;5570.0;5723.0;5493.0
100J_5M_1.txt;5316.0;5316.0;5315.0;5436.0;5302.0;5359.0;5343.0;5338.0;5290.0;5373.0;5341.0;5479.0;5268.0
100J_5M_2.txt;5221.0;5216.0;5273.0;5330.0;5221.0;5241.0;5327.0;5290.0;5202.0;5276.0;5285.0;5550.0;5175.0
100J_5M_3.txt;5061.0;5042.0;5048.0;5045.0;5042.0;5160.0;5107.0;5104.0;5023.0;5075.0;5098.0;5339.0;5014.0
100J_5M_4.txt;5299.0;5266.0;5312.0;5377.0;5264.0;5364.0;5399.0;5344.0;5274.0;5403.0;5367.0;5614.0;5250.0
100J_5M_5.txt;5172.0;5146.0;5172.0;5192.0;5192.0;5226.0;5209.0;5189.0;5139.0;5189.0;5218.0;5353.0;5135.0
100J_5M_6.txt;5344.0;5264.0;5323.0;5360.0;5322.0;5385.0;5376.0;5326.0;5265.0;5326.0;5368.0;5505.0;5246.0
100J_5M_7.txt;5158.0;5141.0;5137.0;5172.0;5137.0;5228.0;5175.0;5168.0;5133.0;5234.0;5263.0;5435.0;5106.0
100J_5M_8.txt;5548.0;5485.0;5527.0;5584.0;5506.0;5661.0;5520.0;5558.0;5492.0;5548.0;5527.0;5713.0;5454.0
100J_5M_9.txt;5342.0;5346.0;5391.0;5386.0;5391.0;5434.0;5450.0;5451.0;5342.0;5409.0;5516.0;5737.0;5328.0
100J_10M_0.txt;6048.0;6076.0;6121.0;6186.0;5976.0;5988.0;6182.0;6090.0;5956.0;6194.0;6211.0;6543.0;5770.0
100J_10M_1.txt;5572.0;5498.0;5627.0;5678.0;5547.0;5741.0;5738.0;5714.0;5531.0;5819.0;5840.0;6144.0;5349.0
100J_10M_2.txt;5803.0;5829.0;5846.0;6006.0;5875.0;6062.0;5907.0;5929.0;5803.0;5961.0;6067.0;6421.0;5677.0
100J_10M_3.txt;6044.0;6109.0;6101.0;6192.0;6063.0;6085.0;6205.0;6223.0;6034.0;6228.0;6282.0;6472.0;5791.0
100J_10M_4.txt;5795.0;5689.0;5825.0;5892.0;5712.0;5843.0;5914.0;5845.0;5666.0;5861.0;5853.0;6354.0;5468.0
100J_10M_5.txt;5515.0;5396.0;5539.0;5711.0;5464.0;5522.0;5609.0;5508.0;5431.0;5616.0;5669.0;6074.0;5303.0
100J_10M_6.txt;5772.0;5785.0;5876.0;5853.0;5803.0;5972.0;5947.0;5895.0;5729.0;5967.0;5889.0;6209.0;5599.0
100J_10M_7.txt;5905.0;5825.0;5984.0;6109.0;5808.0;5971.0;5977.0;5910.0;5828.0;6010.0;6030.0;6308.0;5623.0
100J_10M_8.txt;6077.0;6109.0;6069.0;6190.0;5987.0;6222.0;6137.0;6128.0;6020.0;6246.0;6189.0;6495.0;5875.0
100J_10M_9.txt;6041.0;6101.0;6120.0;6261.0;6065.0;6138.0;6191.0;6079.0;6041.0;6161.0;6227.0;6491.0;5845.0
100J_20M_0.txt;6739.0;6994.0;6792.0;7023.0;6725.0;6901.0;6850.0;6809.0;6725.0;6903.0;7021.0;7454.0;6286.0
100J_20M_1.txt;6694.0;6763.0;6922.0;6907.0;6855.0;6995.0;6807.0;6860.0;6745.0;7076.0;7023.0;7435.0;6241.0
100J_20M_2.txt;6790.0;6739.0;6944.0;7027.0;6904.0;6947.0;7026.0;6897.0;6841.0;7039.0;6976.0;7439.0;6329.0
100J_20M_3.txt;6774.0;6698.0;6846.0;7015.0;6688.0;6917.0;7026.0;6896.0;6755.0;6871.0;7070.0;7487.0;6306.0
100J_20M_4.txt;6890.0;6885.0;6934.0;6992.0;6916.0;6976.0;7086.0;7045.0;6869.0;7190.0;7117.0;7541.0;6377.0
100J_20M_5.txt;6900.0;6928.0;6916.0;7186.0;6871.0;7050.0;7098.0;7007.0;6965.0;7158.0;7249.0;7538.0;6437.0
100J_20M_6.txt;6806.0;6772.0;7077.0;6925.0;6905.0;7018.0;6906.0;7013.0;6844.0;7180.0;7236.0;7459.0;6346.0
100J_20M_7.txt;6986.0;6923.0;7066.0;7217.0;6933.0;7065.0;7109.0;7095.0;7073.0;7211.0;7320.0;7583.0;6481.0
100J_20M_8.txt;6845.0;6888.0;6919.0;6965.0;6863.0;6997.0;6911.0;7008.0;6818.0;7215.0;7164.0;7516.0;6358.0
100J_20M_9.txt;6925.0;6904.0;7014.0;7102.0;6988.0;7166.0;7099.0;7069.0;6951.0;7102.0;7209.0;7624.0;6465.0
200J_10M_0.txt;11113.0;11030.0;11142.0;11195.0;11202.0;11394.0;11191.0;11304.0;11095.0;11334.0;11248.0;11888.0;10868.0
200J_10M_1.txt;10798.0;10839.0;11068.0;11235.0;11011.0;11183.0;11342.0;11111.0;10900.0;11217.0;11329.0;11706.0;10494.0
200J_10M_2.txt;11240.0;11243.0;11421.0;11553.0;11266.0;11378.0;11495.0;11338.0;11169.0;11414.0;11516.0;12089.0;10922.0
200J_10M_3.txt;11083.0;11020.0;11100.0;11404.0;11057.0;11253.0;11215.0;11132.0;11020.0;11173.0;11344.0;11662.0;10889.0
200J_10M_4.txt;10963.0;10945.0;10974.0;10989.0;10903.0;11076.0;11198.0;11128.0;10787.0;11119.0;11327.0;11831.0;10524.0
200J_10M_5.txt;10632.0;10623.0;10751.0;10949.0;10729.0;10805.0;10984.0;10865.0;10644.0;10878.0;10862.0;11447.0;10331.0
200J_10M_6.txt;11181.0;11138.0;11299.0;11355.0;11208.0;11368.0;11328.0;11308.0;11136.0;11413.0;11549.0;12016.0;10857.0
200J_10M_7.txt;11030.0;11099.0;11151.0;11188.0;10963.0;11365.0;11334.0;11240.0;11015.0;11265.0;11443.0;11960.0;10731.0
200J_10M_8.txt;10846.0;10770.0;10854.0;11129.0;10864.0;11010.0;11065.0;11066.0;10757.0;11182.0;11259.0;11617.0;10438.0
200J_10M_9.txt;11023.0;10967.0;11038.0;11285.0;10985.0;11136.0;11235.0;11139.0;10931.0;11197.0;11331.0;11802.0;10676.0
200J_20M_0.txt;12178.0;12093.0;12113.0;12467.0;12066.0;12373.0;12473.0;12119.0;12119.0;12636.0;12619.0;13091.0;11294.0
200J_20M_1.txt;12349.0;12258.0;12245.0;12764.0;12278.0;12532.0;12441.0;12499.0;12249.0;12678.0;12712.0;13353.0;11420.0
200J_20M_2.txt;12411.0;12311.0;12507.0;12433.0;12271.0;12692.0;12580.0;12627.0;12455.0;12892.0;12751.0;13381.0;11446.0
200J_20M_3.txt;12387.0;12255.0;12410.0;12711.0;12316.0;12707.0;12547.0;12622.0;12226.0;12752.0;12801.0;13326.0;11347.0
200J_20M_4.txt;12092.0;12114.0;12421.0;12465.0;12123.0;12639.0;12420.0;12467.0;12221.0;12710.0;12744.0;13211.0;11311.0
200J_20M_5.txt;12184.0;12052.0;12226.0;12696.0;12174.0;12361.0;12677.0;12437.0;12174.0;12658.0;12569.0;13127.0;11282.0
200J_20M_6.txt;12456.0;12373.0;12668.0;12618.0;12421.0;12684.0;12546.0;12590.0;12363.0;12656.0;12895.0;13479.0;11456.0
200J_20M_7.txt;12193.0;12392.0;12470.0;12614.0;12241.0;12469.0;12524.0;12429.0;12323.0;12731.0;12636.0;13263.0;11415.0
200J_20M_8.txt;12293.0;12254.0;12274.0;12693.0;12188.0;12565.0;12461.0;12547.0;12179.0;12780.0;12617.0;13194.0;11343.0
200J_20M_9.txt;12424.0;12302.0;12503.0;12500.0;12323.0;12530.0;12570.0;12650.0;12288.0;12765.0;12721.0;13228.0;11422.0
500J_20M_0.txt;27807.0;28022.0;28136.0;28908.0;28050.0;28685.0;28285.0;28546.0;27999.0;28530.0;28824.0;29424.0;26189.0
500J_20M_1.txt;28373.0;28168.0;28406.0;28999.0;28488.0;28756.0;28716.0;28801.0;28247.0;28671.0;29131.0;29967.0;26629.0
500J_20M_2.txt;28141.0;28122.0;28381.0;28830.0;28351.0;28792.0;28583.0;28803.0;28159.0;28608.0;29084.0;29753.0;26458.0
500J_20M_3.txt;28404.0;28115.0;28376.0;28882.0;28131.0;28622.0;28708.0;28853.0;28134.0;28787.0;28849.0;29772.0;26549.0
500J_20M_4.txt;28163.0;28218.0;28028.0;28745.0;28079.0;28632.0;28616.0;28490.0;28077.0;28732.0;28909.0;29691.0;26404.0
500J_20M_5.txt;28370.0;28195.0;28364.0;29277.0;28429.0;28700.0;28784.0;28852.0;28270.0;29066.0;29272.0;29920.0;26581.0
500J_20M_6.txt;28138.0;27643.0;28168.0;28380.0;27917.0;28586.0;28485.0;28477.0;27742.0;28767.0;28583.0;29391.0;26461.0
500J_20M_7.txt;28292.0;28468.0;28608.0;28885.0;28606.0;28651.0;28787.0;28851.0;28057.0;28937.0;29091.0;30015.0;26615.0
500J_20M_8.txt;27933.0;27819.0;28009.0;28679.0;27849.0;28363.0;28154.0;28453.0;27837.0;28522.0;28676.0;29455.0;26083.0
500J_20M_9.txt;28114.0;28238.0;28212.0;28654.0;28217.0;28608.0;28721.0;28675.0;28218.0;28776.0;28872.0;29750.0;26527.0
